Region;Land use type;Habitat type;Solar radiation intensity;Plant species;Animal species;Temperature;Rainfall;Soil pH;Elevation;Tree coverage;Predator species;Pollinator species;Built road;Topographic diversity;Agricultural intensity
1;Wild;Savanna;Low;125;43;25;800;6.5;200;30;20;12;500;0.7;0.45
2;Suburban;Forest;High;210;78;18;1200;5.8;300;45;12;25;300;0.8;0.55
3;Agricultural;Grassland;High;180;60;20;900;6.2;250;15;15;18;700;0.6;0.65
4;Wild;Mountainous;Low;150;55;15;700;5.9;400;20;10;20;600;0.9;0.42
5;Wild;Savanna;High;130;50;26;750;6.4;180;35;22;15;550;0.7;0.48
6;Suburban;Wetland;High;90;30;22;1100;6.1;180;10;8;10;800;0.5;0.72
7;Wild;Forest;Low;220;80;17;1300;5.7;320;50;30;28;250;0.85;0.58
8;Agricultural;Mountainous;High;140;45;16;600;6;420;18;8;22;900;0.92;0.68
9;Wild;Grassland;Low;160;65;19;850;6.3;230;25;18;20;450;0.75;0.5
10;Suburban;Savanna;Low;110;38;24;700;6.2;160;28;18;12;700;0.65;0.6
11;Suburban;Forest;Low;200;75;16;1100;5.6;280;40;28;26;350;0.88;0.52
12;Agricultural;Wetland;High;80;28;21;950;5.8;150;8;5;8;1000;0.48;0.8
13;Wild;Mountainous;Low;170;58;14;550;6.1;380;15;12;18;800;0.91;0.4
14;Agricultural;Savanna;Medium;120;40;25;780;6.5;190;32;24;14;600;0.68;0.46
15;Agricultural;Wetland;Medium;85;32;20;920;6;140;12;10;10;1100;0.55;0.78
16;Wild;Grassland;Low;150;55;18;820;6.3;210;22;15;14;500;0.78;0.53
17;Suburban;Savanna;Low;105;36;23;730;6.4;170;30;20;10;600;0.62;0.58
18;Wild;Forest;High;210;78;17;1280;5.7;310;48;32;30;300;0.87;0.56
19;Suburban;Mountainous;Medium;145;50;15;590;6.2;390;22;12;20;850;0.9;0.7
20;Suburban;Wetland;High;95;30;23;1050;6;160;11;9;12;750;0.52;0.74
21;Wild;Savanna;High;135;46;26;770;6.4;185;33;25;15;520;0.71;0.43
22;Agricultural;Forest;Medium;200;75;18;1150;5.9;290;42;30;28;320;0.86;0.54
23;Wild;Grassland;Medium;175;60;20;870;6.2;225;27;20;22;480;0.77;0.48
24;Agricultural;Wetland;Medium;85;32;19;940;5.9;145;10;8;10;1050;0.49;0.75
25;Agricultural;Mountainous;Medium;140;45;16;600;6;410;17;8;22;900;0.9;0.67
26;Wild;Savanna;Medium;130;48;25;760;6.3;175;34;23;14;540;0.7;0.47
27;Suburban;Forest;Medium;220;80;16;1200;5.6;300;47;30;28;280;0.88;0.57
28;Agricultural;Grassland;Medium;175;65;19;890;6.1;240;24;18;20;430;0.74;0.52
29;Wild;Mountainous;Low;160;55;14;520;6.2;380;14;11;18;820;0.9;0.41
30;Suburban;Wetland;High;95;28;22;1080;6;155;10;9;12;720;0.54;0.73
31;Wild;Forest;High;200;72;17;1300;5.8;310;50;32;30;310;0.87;0.55
32;Suburban;Mountainous;Low;140;48;15;570;6.2;400;21;11;20;840;0.91;0.69
33;Suburban;Grassland;Low;165;58;20;860;6.3;220;26;19;22;490;0.76;0.49
34;Wild;Savanna;Low;130;45;26;750;6.5;190;33;24;15;530;0.72;0.44
35;Agricultural;Wetland;Medium;90;32;21;950;5.9;150;9;5;8;1050;0.5;0.76
36;Suburban;Forest;Low;210;78;17;1160;5.7;290;44;31;28;330;0.86;0.53
37;Wild;Mountainous;Low;150;52;15;550;6.1;390;16;11;18;780;0.92;0.39
38;Agricultural;Grassland;High;180;68;19;880;6.2;230;23;17;20;420;0.73;0.51
39;Wild;Savanna;High;125;42;26;780;6.4;185;32;23;14;510;0.69;0.45
40;Suburban;Forest;Low;220;80;16;1220;5.6;310;49;30;28;270;0.89;0.56
41;Agricultural;Wetland;Low;80;28;23;920;5.8;140;11;10;12;1000;0.53;0.79
42;Wild;Mountainous;Medium;170;58;14;540;6.1;380;14;11;18;820;0.91;0.4
43;Agricultural;Grassland;Medium;160;62;18;840;6.3;220;24;18;20;440;0.75;0.5
44;Wild;Savanna;Low;140;46;25;760;6.3;175;35;24;14;550;0.71;0.46
45;Suburban;Wetland;Medium;90;30;23;1060;6;160;10;9;12;740;0.56;0.77
46;Wild;Forest;High;210;78;17;1300;5.7;320;47;32;30;310;0.87;0.57
47;Agricultural;Mountainous;Medium;140;45;16;600;6;410;17;8;22;900;0.9;0.68
48;Wild;Grassland;Medium;160;55;18;820;6.3;210;22;15;14;500;0.78;0.53
49;Suburban;Savanna;High;105;36;23;730;6.4;170;30;20;10;600;0.62;0.58
50;Wild;Forest;High;220;80;17;1280;5.7;310;48;32;30;300;0.87;0.56
51;Agricultural;Grassland;Medium;175;60;20;870;6.2;225;27;20;22;480;0.77;0.48
52;Wild;Wetland;High;95;28;22;1080;6;155;10;9;12;720;0.54;0.73
53;Suburban;Forest;Medium;200;72;17;1300;5.8;310;50;32;30;310;0.87;0.55
54;Agricultural;Mountainous;High;140;48;15;570;6.2;400;21;11;20;840;0.91;0.69
55;Suburban;Grassland;High;165;58;20;860;6.3;220;26;19;22;490;0.76;0.49
56;Wild;Savanna;Low;130;45;26;750;6.5;190;33;24;15;530;0.72;0.44
57;Agricultural;Wetland;Medium;90;32;21;950;5.9;150;9;5;8;1050;0.5;0.76
58;Suburban;Forest;Medium;210;78;17;1160;5.7;290;44;31;28;330;0.86;0.53
59;Wild;Mountainous;High;150;52;15;550;6.1;390;16;11;18;780;0.92;0.39
60;Agricultural;Grassland;High;180;68;19;880;6.2;230;23;17;20;420;0.73;0.51
61;Wild;Savanna;Medium;125;42;26;780;6.4;185;32;23;14;510;0.69;0.45
62;Suburban;Forest;High;220;80;16;1220;5.6;310;49;30;28;270;0.89;0.56
63;Agricultural;Wetland;Low;80;28;23;920;5.8;140;11;10;12;1000;0.53;0.79
64;Wild;Mountainous;Low;170;58;14;540;6.1;380;14;11;18;820;0.91;0.4
65;Agricultural;Grassland;Medium;160;62;18;840;6.3;220;24;18;20;440;0.75;0.5
66;Wild;Savanna;High;140;46;25;760;6.3;175;35;24;14;550;0.71;0.46
67;Suburban;Wetland;High;90;30;23;1060;6;160;10;9;12;740;0.56;0.77
68;Wild;Forest;Medium;210;78;17;1300;5.7;320;47;32;30;310;0.87;0.56
69;Agricultural;Mountainous;Low;140;45;16;600;6;410;17;8;22;900;0.9;0.68
70;Wild;Grassland;High;160;55;18;820;6.3;210;22;15;14;500;0.78;0.53
71;Suburban;Savanna;High;105;36;23;730;6.4;170;30;20;10;600;0.62;0.58
72;Wild;Forest;High;220;80;17;1280;5.7;310;48;32;30;300;0.87;0.56
73;Agricultural;Wetland;Low;80;28;23;920;5.8;140;11;10;12;1000;0.53;0.79
74;Wild;Mountainous;High;150;52;15;550;6.1;380;16;11;18;780;0.92;0.39
75;Agricultural;Grassland;Medium;180;68;19;880;6.2;230;23;17;20;420;0.73;0.51
76;Wild;Savanna;Medium;125;42;26;780;6.4;185;32;23;14;510;0.69;0.45
77;Suburban;Forest;Medium;220;80;16;1220;5.6;310;49;30;28;270;0.89;0.56
78;Agricultural;Wetland;High;80;28;23;920;5.8;140;11;10;12;1000;0.53;0.79
79;Wild;Mountainous;High;170;58;14;540;6.1;380;14;11;18;820;0.91;0.4
80;Suburban;Grassland;Low;165;58;20;860;6.3;220;26;19;22;490;0.76;0.49
81;Agricultural;Savanna;Medium;130;45;26;750;6.5;190;33;24;15;530;0.72;0.44
82;Wild;Wetland;Medium;95;28;22;1080;6;155;10;9;12;720;0.54;0.73
83;Suburban;Forest;Medium;200;72;17;1300;5.8;310;50;32;30;310;0.87;0.55
84;Agricultural;Mountainous;Low;140;48;15;570;6.2;400;21;11;20;840;0.91;0.69
85;Suburban;Grassland;Medium;165;58;20;860;6.3;220;26;19;22;490;0.76;0.49
86;Wild;Savanna;High;130;45;26;750;6.5;190;33;24;15;530;0.72;0.44
87;Agricultural;Wetland;Low;90;32;21;950;5.9;150;9;5;8;1050;0.5;0.76
88;Suburban;Forest;High;210;78;17;1160;5.7;290;44;31;28;330;0.86;0.53
89;Wild;Mountainous;High;150;52;15;550;6.1;390;16;11;18;780;0.92;0.39
90;Agricultural;Grassland;Medium;180;68;19;880;6.2;230;23;17;20;420;0.73;0.51
91;Wild;Savanna;Low;125;42;26;780;6.4;185;32;23;14;510;0.69;0.45
92;Suburban;Forest;High;220;80;16;1220;5.6;310;49;30;28;270;0.89;0.56
93;Agricultural;Wetland;Low;80;28;23;920;5.8;140;11;10;12;1000;0.53;0.79
94;Wild;Mountainous;High;170;58;14;540;6.1;380;14;11;18;820;0.91;0.4
95;Agricultural;Grassland;High;160;62;18;840;6.3;220;24;18;20;440;0.75;0.5
96;Wild;Savanna;Medium;140;46;25;760;6.3;175;35;24;14;550;0.71;0.46
97;Suburban;Wetland;High;90;30;23;1060;6;160;10;9;12;740;0.56;0.77
98;Wild;Forest;Low;210;78;17;1300;5.7;320;47;32;30;310;0.87;0.57
99;Agricultural;Mountainous;Medium;140;45;16;600;6;410;17;8;22;900;0.9;0.68
100;Wild;Grassland;Low;160;55;18;820;6.3;210;22;15;14;500;0.78;0.53
101;Suburban;Savanna;High;105;36;23;730;64;170;30;20;10;600;0.62;0.58
102;Wild;Forest;Medium;220;80;17;1280;57;310;48;32;30;300;0.87;0.56
103;Agricultural;Wetland;Low;80;28;23;920;58;140;11;10;12;1000;0.53;0.79
104;Wild;Mountainous;High;150;52;15;550;61;380;16;11;18;780;0.92;0.39
105;Agricultural;Grassland;Medium;180;68;19;880;62;230;23;17;20;420;0.73;0.51
106;Wild;Savanna;Low;125;42;26;780;64;185;32;23;14;510;0.69;0.45
107;Suburban;Forest;Medium;220;80;16;1220;56;310;49;30;28;270;0.89;0.56
108;Agricultural;Wetland;Medium;80;28;23;920;58;140;11;10;12;1000;0.53;0.79
109;Wild;Mountainous;Low;170;58;14;540;61;380;14;11;18;820;0.91;0.31
110;Suburban;Grassland;Low;165;58;20;860;63;220;26;19;22;490;0.76;0.49
111;Agricultural;Savanna;Low;130;45;26;750;65;190;33;24;15;530;0.72;0.44
112;Wild;Wetland;Medium;95;28;22;1080;6;155;10;9;12;720;0.54;0.73
113;Suburban;Forest;Medium;200;72;17;1300;58;310;50;32;30;310;0.87;0.55
114;Agricultural;Mountainous;Low;140;48;15;570;62;400;21;11;20;840;0.91;0.69
115;Suburban;Grassland;High;165;58;20;860;63;220;26;19;22;490;0.76;0.49
116;Wild;Savanna;Medium;130;45;26;750;65;190;33;24;15;530;0.72;0.44
117;Agricultural;Wetland;High;90;32;21;950;59;150;9;5;8;1050;0.05;0.76
118;Suburban;Forest;Medium;210;78;17;1160;57;290;44;31;28;330;0.86;0.53
119;Wild;Mountainous;Medium;150;52;15;550;61;390;16;11;18;780;0.92;0.39
120;Agricultural;Grassland;High;180;68;19;880;62;230;23;17;20;420;0.73;0.51
121;Wild;Savanna;Low;125;42;26;780;64;185;32;23;14;510;0.69;0.45
122;Suburban;Forest;Low;220;80;16;1220;56;310;49;30;28;270;0.89;0.56
123;Agricultural;Wetland;High;80;28;23;920;58;140;11;10;12;1000;0.53;0.79
124;Wild;Mountainous;Medium;170;58;14;540;61;380;14;11;18;820;0.91;0.31
125;Agricultural;Grassland;Medium;160;62;18;840;63;220;24;18;20;440;0.75;0.45
126;Wild;Savanna;Low;140;46;25;760;63;175;35;24;14;550;0.71;0.46
127;Suburban;Wetland;Medium;90;30;23;1060;6;160;10;9;12;740;0.56;0.77
128;Wild;Forest;High;210;78;17;1300;57;320;47;32;30;310;0.87;0.57
129;Agricultural;Mountainous;High;140;45;16;600;6;410;17;8;22;900;0.09;0.68
130;Wild;Grassland;High;160;55;18;820;63;210;22;15;14;500;0.78;0.53
131;Suburban;Savanna;Medium;105;36;23;730;64;170;30;20;10;600;0.62;0.58
132;Wild;Forest;Low;220;80;17;1280;57;310;48;32;30;300;0.87;0.56
133;Agricultural;Wetland;Low;80;28;23;920;58;140;11;10;12;1000;0.53;0.79
134;Wild;Mountainous;Low;150;52;15;550;61;380;16;11;18;780;0.92;0.39
135;Agricultural;Grassland;High;180;68;19;880;62;230;23;17;20;420;0.73;0.51
136;Wild;Savanna;Medium;125;42;26;780;64;185;32;23;14;510;0.69;0.45
137;Suburban;Forest;Low;220;80;16;1220;56;310;49;30;28;270;0.89;0.56
138;Agricultural;Wetland;Medium;80;28;23;920;58;140;11;10;12;1000;0.53;0.79
139;Wild;Mountainous;High;170;58;14;540;61;380;14;11;18;820;0.91;0.31
140;Suburban;Grassland;Low;165;58;20;860;63;220;26;19;22;490;0.76;0.49
141;Agricultural;Savanna;Low;130;45;26;750;65;190;33;24;15;530;0.72;0.44
142;Wild;Wetland;High;95;28;22;1080;6;155;10;9;12;720;0.54;0.73
143;Suburban;Forest;Medium;200;72;17;1300;58;310;50;32;30;310;0.87;0.55
144;Agricultural;Mountainous;Low;140;48;15;570;62;400;21;11;20;840;0.91;0.69
145;Suburban;Grassland;Medium;165;58;20;860;63;220;26;19;22;490;0.76;0.49
146;Wild;Savanna;Medium;130;45;26;750;65;190;33;24;15;530;0.72;0.44
147;Agricultural;Wetland;Medium;90;32;21;950;59;150;9;5;8;1050;0.05;0.76
148;Suburban;Forest;Medium;210;78;17;1160;57;290;44;31;28;330;0.86;0.53
149;Wild;Mountainous;Medium;150;52;15;550;61;390;16;11;18;780;0.92;0.39
150;Agricultural;Grassland;Medium;180;68;19;880;62;230;23;17;20;420;0.73;0.51
151;Agricultural;Forest;Medium;220;78;17;1300;5.7;310;48;32;30;300;0.87;0.56
152;Suburban;Mountainous;Low;150;52;15;550;6.1;380;16;11;18;780;0.92;0.39
153;Agricultural;Grassland;High;180;68;19;880;6.2;230;23;17;20;420;0.73;0.51
154;Suburban;Wetland;Low;90;30;23;1060;6;160;10;9;12;740;0.56;0.77
155;Wild;Forest;Low;210;78;17;1300;5.7;320;47;32;30;310;0.87;0.56
156;Agricultural;Mountainous;Medium;140;45;16;600;6;410;17;8;22;900;0.9;0.68
157;Wild;Grassland;Medium;160;55;18;820;6.3;210;22;15;14;500;0.78;0.53
158;Wild;Forest;Low;220;80;17;1280;5.7;310;48;32;30;300;0.87;0.56
159;Agricultural;Wetland;Low;80;28;23;920;5.8;140;11;10;12;1000;0.53;0.79
160;Wild;Mountainous;High;150;52;15;550;6.1;380;16;11;18;780;0.92;0.39
161;Suburban;Forest;Medium;220;80;16;1220;5.6;310;49;30;28;270;0.89;0.56
162;Wild;Mountainous;High;170;58;14;540;6.1;380;14;11;18;820;0.91;0.4
163;Suburban;Forest;Medium;200;72;17;1300;5.8;310;50;32;30;310;0.87;0.55
164;Agricultural;Mountainous;High;140;48;15;570;6.2;400;21;11;20;840;0.91;0.69
165;Suburban;Forest;High;210;78;17;1160;5.7;290;44;31;28;330;0.86;0.53
166;Wild;Mountainous;High;150;52;15;550;6.1;390;16;11;18;780;0.92;0.39
167;Suburban;Forest;Medium;220;80;16;1220;5.6;310;49;30;28;270;0.89;0.56
168;Agricultural;Forest;High;220;78;17;1300;5.7;310;48;32;30;300;0.87;0.56
169;Wild;Forest;Medium;210;78;17;1300;5.7;320;47;32;30;310;0.87;0.56
170;Agricultural;Forest;High;220;80;17;1280;5.7;310;48;32;30;300;0.87;0.56
171;Wild;Mountainous;Low;170;58;14;540;6.1;380;14;11;18;820;0.91;0.4
172;Agricultural;Forest;Medium;200;72;17;1300;5.8;310;50;32;30;310;0.87;0.56
173;Wild;Mountainous;High;150;52;15;550;6.1;380;16;11;18;780;0.92;0.39
174;Agricultural;Forest;High;210;78;17;1160;5.7;290;44;31;28;330;0.86;0.53
175;Wild;Mountainous;Low;150;52;15;550;6.1;390;16;11;18;780;0.92;0.39
